CustomerID,F,M,R,Lable
12346.0,0,0.0,325.10625,一般挽留客户
12347.0,2458,4309.999999999997,1.8736111111111111,重要保持客户
12348.0,2341,1797.24,74.98402777777778,一般保持客户
12349.0,631,1757.55,18.124305555555555,一般发展客户
12350.0,197,334.40000000000003,309.8673611111111,一般挽留客户
12352.0,470,1545.4100000000005,35.925694444444446,一般发展客户
12353.0,20,89.0,203.79375,一般挽留客户
12354.0,530,1079.4,231.98541666666668,一般挽留客户
12355.0,240,459.4,213.95902777777778,一般挽留客户
12356.0,1591,2811.4300000000007,22.17361111111111,重要保持客户
12357.0,2708,6207.669999999996,32.863194444444446,重要保持客户
12358.0,248,1168.06,1.1,一般发展客户
12359.0,1612,6245.530000000006,7.061805555555556,重要保持客户
12360.0,1165,2662.0600000000004,51.894444444444446,重要保持客户
12361.0,91,189.89999999999998,286.9576388888889,一般挽留客户
12362.0,2212,5154.580000000002,2.8819444444444446,重要保持客户
12363.0,408,552.0,109.10555555555555,一般挽留客户
12364.0,1506,1313.1000000000001,7.102777777777778,一般保持客户
12365.0,173,320.69,290.9486111111111,一般挽留客户
12367.0,173,168.9,3.834722222222222,一般发展客户
12370.0,2353,3545.689999999998,50.91597222222222,重要保持客户
12371.0,591,1887.9600000000003,44.106944444444444,一般发展客户
12372.0,794,1298.0400000000002,71.02638888888889,一般发展客户
12373.0,197,364.6,310.9861111111111,一般挽留客户
12374.0,342,742.93,24.884027777777778,一般发展客户
12375.0,177,455.42000000000013,2.057638888888889,一般发展客户
12377.0,944,1628.1199999999997,314.87847222222223,一般挽留客户
12378.0,2529,4008.6200000000013,129.09444444444443,重要价值客户
12379.0,406,850.2899999999996,81.11180555555555,一般发展客户
12380.0,1126,2720.56,21.05763888888889,重要保持客户
12381.0,783,1803.9600000000005,4.004166666666666,一般发展客户
12383.0,1529,1839.3099999999997,184.2,一般价值客户
12384.0,121,566.16,28.174305555555556,一般发展客户
12386.0,354,401.90000000000003,337.00902777777776,一般挽留客户
12388.0,1462,2780.6600000000003,15.01388888888889,重要保持客户
12390.0,353,549.8399999999999,79.13680555555555,一般发展客户
